Variabel,num_rules,reg_lambda,Std_Aktual,RNN_RMSE,RNN_MAE,RNN_MAPE,RNN_Accuracy,RNN_R2,ANFIS_RMSE,ANFIS_MAE,ANFIS_MAPE,ANFIS_Accuracy,ANFIS_R2
Temperature,3.0,0.01,2.86,0.18,0.13,0.43,99.57,1.0,0.19,0.12,0.39,99.61,1.0
Humidity,7.0,0.0001,14.03,0.77,0.63,0.8,99.2,1.0,0.56,0.41,0.56,99.44,1.0
Pressure,7.0,0.001,1.22,0.06,0.05,0.0,100.0,1.0,0.05,0.04,0.0,100.0,1.0
WindSpeed,5.0,0.05,0.9,0.37,0.22,17.19,82.81,0.83,0.42,0.25,23.69,76.31,0.79
Irradiance,5.0,0.0001,493.02,12.77,7.83,3.14,96.86,1.0,12.57,5.07,1.68,98.32,1.0
RATA-RATA (macro-average),,,,,,4.31,95.69,0.96,,,5.27,94.73,0.96
