Variabel,num_rules,reg_lambda,Std_Aktual,RNN_RMSE,RNN_MAE,RNN_MAPE,RNN_Accuracy,RNN_R2,ANFIS_RMSE,ANFIS_MAE,ANFIS_MAPE,ANFIS_Accuracy,ANFIS_R2
Temperature,5.0,0.001,2.93,0.17,0.13,0.4,99.6,1.0,0.14,0.09,0.29,99.71,1.0
Humidity,3.0,0.0001,13.85,0.64,0.45,0.58,99.42,1.0,0.63,0.42,0.55,99.45,1.0
Pressure,5.0,0.0001,0.87,0.06,0.05,0.0,100.0,0.99,0.07,0.06,0.01,99.99,0.99
WindSpeed,3.0,0.0001,0.38,0.21,0.09,25.34,74.66,0.7,0.24,0.12,25.69,74.31,0.6
Irradiance,7.0,0.0001,491.14,14.44,10.09,3.34,96.66,1.0,15.8,9.59,3.19,96.81,1.0
RATA-RATA (macro-average),,,,,,5.93,94.07,0.94,,,5.95,94.05,0.92
