Variabel,num_rules,reg_lambda,Std_Aktual,RNN_RMSE,RNN_MAE,RNN_MAPE,RNN_Accuracy,RNN_R2,ANFIS_RMSE,ANFIS_MAE,ANFIS_MAPE,ANFIS_Accuracy,ANFIS_R2
Temperature,3.0,0.01,1.12,0.17,0.15,0.55,99.45,0.98,0.19,0.12,0.45,99.55,0.97
Humidity,5.0,0.001,7.2,0.82,0.65,0.73,99.27,0.99,0.7,0.52,0.59,99.41,0.99
Pressure,5.0,0.01,0.78,0.1,0.08,0.01,99.99,0.98,0.09,0.08,0.01,99.99,0.99
WindSpeed,7.0,0.05,0.67,0.46,0.29,35.51,64.49,0.54,0.51,0.3,56.99,43.01,0.43
Irradiance,3.0,0.01,453.57,26.14,15.0,3.77,96.23,1.0,33.07,17.12,5.27,94.73,0.99
RATA-RATA (macro-average),,,,,,8.11,91.89,0.9,,,12.66,87.34,0.88
