Variabel,num_rules,reg_lambda,Std_Aktual,RNN_RMSE,RNN_MAE,RNN_MAPE,RNN_Accuracy,RNN_R2,ANFIS_RMSE,ANFIS_MAE,ANFIS_MAPE,ANFIS_Accuracy,ANFIS_R2
Temperature,5.0,0.001,1.54,0.26,0.23,0.84,99.16,0.97,0.2,0.16,0.6,99.4,0.98
Humidity,5.0,0.0001,8.53,0.99,0.76,0.86,99.14,0.99,2.85,2.1,2.32,97.68,0.89
Pressure,7.0,0.05,0.89,0.13,0.11,0.01,99.99,0.98,0.17,0.1,0.01,99.99,0.96
WindSpeed,7.0,0.05,0.75,0.48,0.32,30.25,69.75,0.59,0.49,0.33,35.03,64.97,0.58
Irradiance,3.0,0.05,461.93,35.71,23.18,5.35,94.65,0.99,28.12,13.78,3.7,96.3,1.0
RATA-RATA (macro-average),,,,,,7.46,92.54,0.9,,,8.33,91.67,0.88
