Variabel,num_rules,reg_lambda,Std_Aktual,RNN_RMSE,RNN_MAE,RNN_MAPE,RNN_Accuracy,RNN_R2,ANFIS_RMSE,ANFIS_MAE,ANFIS_MAPE,ANFIS_Accuracy,ANFIS_R2
Temperature,3.0,0.0001,2.99,0.11,0.08,0.27,99.73,1.0,0.12,0.09,0.28,99.72,1.0
Humidity,7.0,0.0001,13.96,0.56,0.45,0.54,99.46,1.0,0.47,0.32,0.41,99.59,1.0
Pressure,3.0,0.001,0.99,0.06,0.05,0.0,100.0,1.0,0.05,0.04,0.0,100.0,1.0
WindSpeed,3.0,0.01,0.55,0.31,0.15,32.17,67.83,0.68,0.31,0.11,28.0,72.0,0.68
Irradiance,7.0,0.001,480.89,32.99,9.23,4.71,95.29,1.0,33.14,11.4,5.16,94.84,1.0
RATA-RATA (macro-average),,,,,,7.54,92.46,0.93,,,6.77,93.23,0.93
