temperature_rnn,humidity_rnn,pressure_rnn,windSpeed_rnn,irradiance_rnn,temperature_actual,humidity_actual,pressure_actual,windSpeed_actual,irradiance_actual
30.22247,67.03717,1009.51825,0.05126745,4.1043463,30.3,66.3,1009.5300000000001,0.0,0.0
30.22471,67.059425,1009.53973,0.048757426,3.514886,30.3,66.5,1009.51,0.0,0.0
30.216745,67.16811,1009.54553,0.04899905,3.297776,30.3,66.5,1009.5199999999999,0.0,0.0
30.217113,67.22633,1009.5528,0.048893187,3.4952462,30.3,66.6,1009.48,0.0,0.0
30.21669,67.3197,1009.541,0.051201843,3.9228797,30.3,66.5,1009.5300000000001,0.0,0.0
30.225403,67.308846,1009.5526,0.049608234,3.944695,30.3,66.5,1009.5300000000001,0.0,0.0
30.23103,67.30362,1009.5614,0.04973355,4.150152,30.4,66.6,1009.5199999999999,0.0,0.0
30.268452,67.24754,1009.55676,0.051969286,3.949076,30.3,66.6,1009.5199999999999,0.0,0.0
30.25263,67.35289,1009.56036,0.052031677,4.22439,30.4,66.7,1009.5300000000001,0.0,0.0
30.278025,67.34206,1009.5599,0.052328013,3.7791133,30.4,66.6,1009.54,0.0,0.0
30.300974,67.31297,1009.5657,0.053062428,4.2099953,30.4,66.7,1009.55,0.0,0.0
30.307789,67.35792,1009.5741,0.052853473,3.9883554,30.3,66.6,1009.5300000000001,0.0,0.0
30.280481,67.46607,1009.5798,0.05301271,4.839897,30.4,66.6,1009.5600000000001,0.0,0.0
30.303371,67.38982,1009.58795,0.05241263,4.506201,30.4,66.6,1009.54,0.0,0.0
30.31747,67.36697,1009.58563,0.054318912,4.7989187,30.3,66.6,1009.5300000000001,0.0,0.0
30.286472,67.47289,1009.58575,0.054097373,5.034387,30.4,66.6,1009.5300000000001,0.0,0.0
30.308365,67.403435,1009.57837,0.054872576,4.8168,30.4,66.7,1009.5300000000001,0.0,0.0
30.315594,67.416916,1009.5722,0.055293787,4.4308305,30.4,66.8,1009.5600000000001,0.0,0.0
30.314499,67.46225,1009.5795,0.053441327,3.745705,30.3,66.8,1009.5600000000001,0.0,0.0
30.276733,67.595924,1009.59186,0.0515329,4.0121975,30.4,66.9,1009.54,0.0,0.0
30.291443,67.592224,1009.5849,0.05278519,3.965795,30.4,66.9,1009.5699999999999,0.0,0.0
30.302994,67.587105,1009.5917,0.052198857,3.8648248,30.4,67.0,1009.55,0.0,0.0
30.306463,67.64589,1009.5886,0.053314935,3.9699972,30.4,67.0,1009.59,0.0,0.0
30.310413,67.67145,1009.6028,0.051620375,3.7804544,30.4,67.0,1009.6100000000001,0.0,0.0
30.313837,67.684975,1009.62146,0.050572842,3.8826466,30.4,66.9,1009.55,0.0,0.0
30.324757,67.68277,1009.61194,0.054568924,5.176753,30.4,67.0,1009.59,0.0,0.0
30.32401,67.71694,1009.61914,0.053287804,4.565835,30.4,66.9,1009.58,0.0,0.0
30.331318,67.697426,1009.621,0.054156907,5.0501227,30.4,67.0,1009.5999999999999,0.0,0.0
30.328293,67.72465,1009.62885,0.053158022,4.576862,30.4,67.0,1009.65,0.0,0.0
30.3261,67.71863,1009.6536,0.050409947,4.115552,30.4,67.1,1009.5999999999999,0.0,0.0
30.321102,67.7807,1009.65015,0.05272369,4.5357647,30.4,67.2,1009.62,0.0,0.0
30.315058,67.85258,1009.6531,0.0521312,4.190147,30.4,67.2,1009.65,0.0,0.0
30.314798,67.878845,1009.6665,0.05070191,4.0984154,30.4,67.1,1009.66,0.0,0.0
30.322475,67.847855,1009.6808,0.050742522,4.639715,30.4,67.2,1009.6700000000001,0.0,0.0
30.320438,67.87623,1009.6934,0.050582126,4.488736,30.4,67.1,1009.6299999999999,0.0,0.0
30.328287,67.8695,1009.68634,0.05372606,5.4573417,30.4,67.1,1009.66,0.0,0.0
30.33187,67.85913,1009.69226,0.053230945,5.249083,27.1,79.6,1013.1499999999999,2.09,0.0
28.007254,75.47977,1011.2457,0.5943615,0.0,27.2,80.1,1013.25,0.0,0.0
27.009766,78.32369,1012.33325,0.0029824653,0.0,27.3,80.1,1013.2100000000002,0.0,0.0
26.713694,79.245735,1012.8852,0.0,0.0,27.3,79.9,1013.2100000000002,0.0,0.0
26.755695,79.310646,1013.12805,0.0,0.0,27.400000000000002,79.6,1013.2400000000001,0.0,0.0
26.95993,79.02485,1013.2163,0.0,4.425496,27.400000000000002,78.8,1013.2299999999999,0.0,0.0
27.17952,78.65347,1013.2359,0.0,14.421225,27.5,78.5,1013.2100000000002,0.0,0.0
27.366003,78.43548,1013.22046,0.0,19.298225,27.5,78.3,1013.25,0.0,0.0
27.4688,78.422905,1013.2259,0.0,21.381706,27.5,78.2,1013.22,0.0,0.0
27.519226,78.530876,1013.21783,0.0,22.926182,27.5,78.2,1013.2400000000001,0.0,0.0
27.538376,78.65771,1013.22107,0.0,22.797525,27.6,77.6,1013.1999999999999,0.0,0.0
27.632175,78.36103,1013.20355,0.0,25.037558,27.6,77.2,1013.2400000000001,0.0,0.0
27.691751,78.05509,1013.21344,0.0,24.878115,27.6,76.7,1013.22,0.0,0.0
27.736212,77.70203,1013.2159,0.0,25.521397,27.6,75.8,1013.25,0.0,0.0
27.79324,77.0947,1013.2371,0.0,26.773035,27.6,75.8,1013.26,0.0,0.0
27.783936,76.808525,1013.2518,0.0,24.402678,27.6,75.9,1013.2700000000001,0.0,0.0
27.749079,76.69905,1013.2585,0.0,22.161366,27.6,75.7,1013.2999999999998,0.0,0.0
27.73196,76.51219,1013.27216,0.0,21.519869,27.6,75.7,1013.25,0.0,0.0
27.713385,76.43271,1013.2546,0.0,21.27108,27.7,75.8,1013.25,0.0,0.0
27.735828,76.312775,1013.2324,0.0,20.020872,27.7,75.8,1013.28,0.0,0.0
27.745514,76.260635,1013.23157,0.0,19.359827,27.7,75.5,1013.26,0.0,0.0
27.768896,76.12471,1013.2284,0.0,20.731419,27.7,75.0,1013.2700000000001,0.0,0.0
27.805689,75.83996,1013.2379,0.0,22.25703,27.7,72.7,1013.2999999999998,0.0,0.0
27.95905,74.603905,1013.2798,0.0,29.720665,27.6,71.6,1013.2999999999998,0.0,0.0
27.999475,73.65149,1013.3223,0.0,31.062513,27.7,71.7,1013.2999999999998,0.0,0.0
27.989462,73.10524,1013.3339,0.0,26.76627,27.7,73.1,1013.2999999999998,0.0,0.0
27.85344,73.49006,1013.3161,0.0,18.673033,27.7,73.7,1013.2999999999998,0.0,0.0
27.754002,73.91429,1013.2899,0.0,15.912682,27.7,73.8,1013.28,0.0,0.0
27.719172,74.14514,1013.2607,0.0,16.524523,27.7,73.2,1013.31,0.0,0.0
27.757626,73.94335,1013.2629,0.0,19.282282,27.7,73.4,1013.33,0.0,0.0
27.758982,73.94507,1013.2763,0.0,18.573761,27.7,73.1,1013.31,0.0,0.0
27.782068,73.820526,1013.2816,0.0,20.276844,27.7,73.1,1013.2700000000001,0.0,0.0
27.789902,73.798225,1013.2691,0.0,20.737648,27.7,73.2,1013.2999999999998,0.0,0.0
27.78382,73.82877,1013.2734,0.0,19.862116,27.7,73.6,1013.2400000000001,0.0,0.0
27.756958,74.064186,1013.24664,0.0,19.076855,27.7,73.7,1013.2700000000001,0.0,0.0
27.74675,74.20367,1013.2415,0.0,18.658043,27.7,73.8,1013.28,0.0,0.0
27.74297,74.3089,1013.2438,0.0,18.652021,27.7,73.9,1013.28,0.0,0.0
27.741724,74.40705,1013.2464,0.0,18.794119,27.7,74.1,1013.25,0.0,0.0
27.736088,74.567245,1013.23474,0.0,18.876225,27.7,74.2,1013.26,0.0,0.0
27.736126,74.68858,1013.2317,0.0,18.878042,27.7,74.2,1013.26,0.0,0.0
27.744251,74.74873,1013.23145,0.0,19.374937,27.7,74.1,1013.2400000000001,0.0,0.0
27.76066,74.74407,1013.22516,0.0,20.313145,27.7,73.8,1013.22,0.0,0.0
27.790567,74.613174,1013.2162,0.0,21.668762,27.8,73.5,1013.26,0.0,0.0
27.860737,74.27687,1013.22516,0.0,21.74604,27.7,73.2,1013.2100000000002,0.0,0.0
27.862087,74.15021,1013.21954,0.0,22.936762,27.8,73.1,1013.2400000000001,0.0,0.0
27.895977,73.90856,1013.22327,0.0,21.896542,27.8,73.1,1013.25,0.0,0.0
27.901114,73.80573,1013.22876,0.0,20.990074,27.7,72.9,1013.25,0.0,0.0
27.865414,73.78907,1013.23987,0.0,21.396011,27.7,73.1,1013.2700000000001,0.0,0.0
27.82337,73.84245,1013.25195,0.0,19.962072,27.7,73.3,1013.26,0.0,0.0
27.7892,73.93627,1013.2497,0.0,19.16051,27.8,73.4,1013.3200000000002,0.0,0.0
27.81171,73.85908,1013.2641,0.0,18.082827,27.8,73.5,1013.31,0.0,0.0
27.821783,73.896996,1013.2683,0.0,18.283249,27.7,74.1,1013.34,0.0,0.0
27.747345,74.33513,1013.28674,0.0,16.531675,27.7,74.0,1013.33,0.0,0.0
27.73406,74.486626,1013.2955,0.0,18.303753,27.7,73.9,1013.3500000000001,0.0,0.0
27.744192,74.498024,1013.31036,0.0,19.40909,27.8,74.6,1013.3200000000002,0.0,0.0
27.752512,74.739845,1013.2934,0.0,17.530888,27.8,75.1,1013.3200000000002,0.0,0.0
27.744864,75.123116,1013.2784,0.0,16.673506,27.8,75.3,1013.4099999999999,0.0,0.0
27.748001,75.38739,1013.31067,0.0,16.466887,27.8,75.3,1013.4099999999999,0.0,0.0
27.767506,75.54554,1013.33685,0.0,18.262594,27.8,75.2,1013.39,0.0,0.0
27.797556,75.61828,1013.3485,0.0,20.232082,27.8,75.2,1013.36,0.0,0.0
27.821407,75.697586,1013.3435,0.0,21.32392,27.8,75.0,1013.43,0.0,0.0
27.849873,75.62149,1013.37305,0.0,21.659285,27.7,74.9,1013.39,0.0,0.0
27.825474,75.686935,1013.382,0.0,22.820265,27.8,74.8,1013.4,0.0,0.0
27.859821,75.52213,1013.3834,0.0,22.680164,27.8,75.0,1013.42,0.0,0.0
27.859379,75.53603,1013.3881,0.0,21.30273,27.8,75.1,1013.42,0.0,0.0
27.85325,75.593796,1013.389,0.0,20.883024,27.8,75.4,1013.42,0.0,0.0
27.832785,75.77181,1013.38617,0.0,19.931286,27.8,75.4,1013.42,0.0,0.0
27.83196,75.8557,1013.3842,0.0,20.406305,27.8,75.4,1013.39,0.0,0.0
27.83904,75.91464,1013.3704,0.0,21.135212,27.8,75.4,1013.39,0.0,0.0
27.847446,75.946396,1013.36273,0.0,21.301895,27.8,75.4,1013.43,0.0,0.0
27.852604,75.94358,1013.37714,0.0,20.969122,27.8,75.5,1013.43,0.0,0.0
27.848612,75.99404,1013.3867,0.0,20.809889,27.8,75.4,1013.44,0.0,0.0
27.855602,75.96788,1013.39825,0.0,21.353096,27.8,75.4,1013.4899999999999,0.0,0.0
27.856342,75.93781,1013.4276,0.0,20.977943,27.8,75.4,1013.48,0.0,0.0
27.855923,75.93505,1013.4409,0.0,21.37181,27.8,75.4,1013.5,0.0,0.0
27.855274,75.93205,1013.4564,0.0,21.36284,27.8,75.3,1013.51,0.0,0.0
27.861736,75.88331,1013.46985,0.0,21.847815,27.8,75.3,1013.5,0.0,0.0
27.863638,75.873375,1013.4722,0.0,22.04591,27.8,75.3,1013.48,0.0,0.0
27.865198,75.883064,1013.4632,0.0,22.259443,27.8,75.4,1013.4600000000002,0.0,0.0
27.860733,75.94725,1013.4465,0.0,22.007347,27.8,75.4,1013.44,0.0,0.0
27.862537,75.98297,1013.42676,0.0,22.1515,27.8,75.4,1013.44,0.0,0.0
27.865383,75.99494,1013.41516,0.0,22.012383,27.8,75.4,1013.4600000000002,0.0,0.0
27.866404,75.98533,1013.4182,0.0,21.669357,27.8,75.4,1013.44,0.0,0.0
27.866856,75.98715,1013.4129,0.0,21.855206,27.8,75.3,1013.44,0.0,0.0
27.87355,75.937584,1013.411,0.0,22.138178,27.8,75.3,1013.37,0.0,0.0
27.877056,75.94773,1013.3793,0.0,22.689135,27.8,75.4,1013.43,0.0,0.0
27.869446,75.9668,1013.38477,0.0,21.251291,27.8,75.3,1013.45,0.0,0.0
27.871319,75.90813,1013.3995,0.0,21.396996,27.8,75.4,1013.43,0.0,0.0
27.863028,75.939865,1013.3999,0.0,21.261156,27.8,75.5,1013.4099999999999,0.0,0.0
27.854397,76.01247,1013.38965,0.0,21.156906,27.8,75.5,1013.4899999999999,0.0,0.0
27.850763,76.005,1013.41833,0.0,20.41447,27.8,75.5,1013.42,0.0,0.0
27.85226,76.0377,1013.40625,0.0,21.560013,27.8,75.6,1013.44,0.0,0.0
27.848236,76.097885,1013.4057,0.0,21.051884,27.8,75.7,1013.45,0.0,0.0
