Variabel,num_rules,reg_lambda,Std_Aktual,RNN_RMSE,RNN_MAE,RNN_MAPE,RNN_Accuracy,RNN_R2,ANFIS_RMSE,ANFIS_MAE,ANFIS_MAPE,ANFIS_Accuracy,ANFIS_R2
Temperature,7.0,0.001,2.91,0.3,0.16,0.5,99.5,0.99,0.27,0.12,0.38,99.62,0.99
Humidity,3.0,0.01,14.87,1.49,0.71,1.01,98.99,0.99,1.42,0.57,0.83,99.17,0.99
Pressure,7.0,0.001,1.2,0.06,0.04,0.0,100.0,1.0,0.05,0.04,0.0,100.0,1.0
WindSpeed,5.0,0.01,0.94,0.37,0.22,14.06,85.94,0.85,0.39,0.27,16.04,83.96,0.83
Irradiance,5.0,0.01,492.71,35.13,9.78,3.26,96.74,0.99,33.07,2.61,2.07,97.93,1.0
RATA-RATA (macro-average),,,,,,3.77,96.23,0.96,,,3.86,96.14,0.96
