Variabel,num_rules,reg_lambda,Std_Aktual,RNN_RMSE,RNN_MAE,RNN_MAPE,RNN_Accuracy,RNN_R2,ANFIS_RMSE,ANFIS_MAE,ANFIS_MAPE,ANFIS_Accuracy,ANFIS_R2
Temperature,7.0,0.01,2.31,0.18,0.13,0.42,99.58,0.99,0.18,0.14,0.44,99.56,0.99
Humidity,5.0,0.01,9.94,0.66,0.5,0.7,99.3,1.0,0.64,0.48,0.66,99.34,1.0
Pressure,5.0,0.01,1.7,0.08,0.06,0.01,99.99,1.0,0.08,0.06,0.01,99.99,1.0
WindSpeed,3.0,0.01,0.84,0.47,0.3,16.96,83.04,0.69,0.44,0.23,18.37,81.63,0.72
Irradiance,3.0,0.001,482.3,13.09,6.47,1.36,98.64,1.0,13.06,7.23,1.68,98.32,1.0
RATA-RATA (macro-average),,,,,,3.89,96.11,0.93,,,4.23,95.77,0.94
