Variabel,num_rules,reg_lambda,Std_Aktual,RNN_RMSE,RNN_MAE,RNN_MAPE,RNN_Accuracy,RNN_R2,ANFIS_RMSE,ANFIS_MAE,ANFIS_MAPE,ANFIS_Accuracy,ANFIS_R2
Temperature,3.0,0.001,3.26,0.16,0.12,0.38,99.62,1.0,0.14,0.1,0.34,99.66,1.0
Humidity,5.0,0.001,15.6,0.89,0.7,0.92,99.08,1.0,0.57,0.39,0.52,99.48,1.0
Pressure,5.0,0.01,1.01,0.06,0.04,0.0,100.0,1.0,0.06,0.05,0.0,100.0,1.0
WindSpeed,7.0,0.05,0.77,0.44,0.25,28.38,71.62,0.68,0.54,0.34,43.18,56.82,0.52
Irradiance,7.0,0.0001,479.4,37.88,17.99,7.55,92.45,0.99,34.48,11.24,6.89,93.11,0.99
RATA-RATA (macro-average),,,,,,7.45,92.55,0.93,,,10.19,89.81,0.9
