Variabel,num_rules,reg_lambda,Std_Aktual,RNN_RMSE,RNN_MAE,RNN_MAPE,RNN_Accuracy,RNN_R2,ANFIS_RMSE,ANFIS_MAE,ANFIS_MAPE,ANFIS_Accuracy,ANFIS_R2
Temperature,7.0,0.01,2.55,0.3,0.14,0.44,99.56,0.99,0.29,0.14,0.46,99.54,0.99
Humidity,7.0,0.001,11.38,1.45,0.54,0.8,99.2,0.98,1.45,0.55,0.82,99.18,0.98
Pressure,7.0,0.001,1.52,0.11,0.09,0.01,99.99,0.99,0.09,0.06,0.01,99.99,1.0
WindSpeed,7.0,0.01,0.84,0.47,0.33,19.36,80.64,0.68,0.47,0.27,16.52,83.48,0.69
Irradiance,5.0,0.05,481.36,35.71,7.13,1.92,98.08,0.99,35.0,5.11,1.39,98.61,0.99
RATA-RATA (macro-average),,,,,,4.51,95.49,0.93,,,3.84,96.16,0.93
